Document,Model,Evaluation_Mode,Overall_Precision,Overall_Recall,Overall_F1,Total_TP,Total_FP,Total_FN,Total_Gold,Total_Predicted
H_INESS v. NORWAY (1),dolphin3:8b,Lenient,0.381,0.063,0.108,8,13,119,127,21
H_INESS v. NORWAY (1),dolphin3:8b,Strict,0.333,0.055,0.095,7,14,120,127,21
SHVIDKIYE v. RUSSIA,gemma3:1b,Lenient,0.179,0.055,0.084,5,23,86,91,28
SHVIDKIYE v. RUSSIA,gemma3:1b,Strict,0.143,0.044,0.067,4,24,87,91,28
SHVIDKIYE v. RUSSIA,gemma3:4b,Lenient,0.730,0.297,0.422,27,10,64,91,37
SHVIDKIYE v. RUSSIA,gemma3:4b,Strict,0.432,0.176,0.250,16,21,75,91,37
SHVIDKIYE v. RUSSIA,gemma3:12b,Lenient,0.571,0.220,0.317,20,15,71,91,35
SHVIDKIYE v. RUSSIA,gemma3:12b,Strict,0.400,0.154,0.222,14,21,77,91,35
SHVIDKIYE v. RUSSIA,llama3.3:latest,Lenient,0.000,0.000,0.000,0,0,91,91,0
SHVIDKIYE v. RUSSIA,llama3.3:latest,Strict,0.000,0.000,0.000,0,0,91,91,0
SHVIDKIYE v. RUSSIA,deepseek-r1:8b,Lenient,0.600,0.033,0.062,3,2,88,91,5
SHVIDKIYE v. RUSSIA,deepseek-r1:8b,Strict,0.400,0.022,0.042,2,3,89,91,5
SHVIDKIYE v. RUSSIA,mistral:latest,Lenient,0.360,0.396,0.377,36,64,55,91,100
SHVIDKIYE v. RUSSIA,mistral:latest,Strict,0.260,0.286,0.272,26,74,65,91,100
SHVIDKIYE v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.690,0.319,0.436,29,13,62,91,42
SHVIDKIYE v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.548,0.253,0.346,23,19,68,91,42
SHVIDKIYE v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.545,0.066,0.118,6,5,85,91,11
SHVIDKIYE v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.545,0.066,0.118,6,5,85,91,11
SHVIDKIYE v. RUSSIA,mixtral:8x7b,Lenient,0.353,0.066,0.111,6,11,85,91,17
SHVIDKIYE v. RUSSIA,mixtral:8x7b,Strict,0.176,0.033,0.056,3,14,88,91,17
SHVIDKIYE v. RUSSIA,dolphin3:8b,Lenient,1.000,0.011,0.022,1,0,90,91,1
SHVIDKIYE v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,91,91,1
VISY v. SLOVAKIA,gemma3:1b,Lenient,0.083,0.033,0.047,2,22,59,61,24
VISY v. SLOVAKIA,gemma3:1b,Strict,0.083,0.033,0.047,2,22,59,61,24
VISY v. SLOVAKIA,gemma3:4b,Lenient,0.065,0.131,0.086,8,116,53,61,124
VISY v. SLOVAKIA,gemma3:4b,Strict,0.040,0.082,0.054,5,119,56,61,124
VISY v. SLOVAKIA,gemma3:12b,Lenient,0.457,0.262,0.333,16,19,45,61,35
VISY v. SLOVAKIA,gemma3:12b,Strict,0.257,0.148,0.187,9,26,52,61,35
VISY v. SLOVAKIA,llama3.3:latest,Lenient,0.526,0.328,0.404,20,18,41,61,38
VISY v. SLOVAKIA,llama3.3:latest,Strict,0.316,0.197,0.242,12,26,49,61,38
VISY v. SLOVAKIA,deepseek-r1:8b,Lenient,0.706,0.197,0.308,12,5,49,61,17
VISY v. SLOVAKIA,deepseek-r1:8b,Strict,0.588,0.164,0.256,10,7,51,61,17
VISY v. SLOVAKIA,mistral:latest,Lenient,0.194,0.426,0.267,26,108,35,61,134
VISY v. SLOVAKIA,mistral:latest,Strict,0.142,0.311,0.195,19,115,42,61,134
VISY v. SLOVAKIA,incept5/llama3.1-claude:latest,Lenient,0.312,0.164,0.215,10,22,51,61,32
VISY v. SLOVAKIA,incept5/llama3.1-claude:latest,Strict,0.250,0.131,0.172,8,24,53,61,32
VISY v. SLOVAKIA,chevalblanc/claude-3-haiku:latest,Lenient,0.833,0.082,0.149,5,1,56,61,6
VISY v. SLOVAKIA,chevalblanc/claude-3-haiku:latest,Strict,0.833,0.082,0.149,5,1,56,61,6
VISY v. SLOVAKIA,mixtral:8x7b,Lenient,0.364,0.197,0.255,12,21,49,61,33
VISY v. SLOVAKIA,mixtral:8x7b,Strict,0.182,0.098,0.128,6,27,55,61,33
VISY v. SLOVAKIA,dolphin3:8b,Lenient,0.333,0.115,0.171,7,14,54,61,21
VISY v. SLOVAKIA,dolphin3:8b,Strict,0.286,0.098,0.146,6,15,55,61,21
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:1b,Lenient,0.178,0.160,0.168,8,37,42,50,45
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:1b,Strict,0.089,0.080,0.084,4,41,46,50,45
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:4b,Lenient,0.281,0.180,0.220,9,23,41,50,32
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:4b,Strict,0.188,0.120,0.146,6,26,44,50,32
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:12b,Lenient,0.355,0.540,0.429,27,49,23,50,76
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:12b,Strict,0.250,0.380,0.302,19,57,31,50,76
OTGON v. THE REPUBLIC OF MOLDOVA,llama3.3:latest,Lenient,0.333,0.020,0.038,1,2,49,50,3
OTGON v. THE REPUBLIC OF MOLDOVA,llama3.3:latest,Strict,0.000,0.000,0.000,0,3,50,50,3
OTGON v. THE REPUBLIC OF MOLDOVA,deepseek-r1:8b,Lenient,0.556,0.200,0.294,10,8,40,50,18
OTGON v. THE REPUBLIC OF MOLDOVA,deepseek-r1:8b,Strict,0.500,0.180,0.265,9,9,41,50,18
OTGON v. THE REPUBLIC OF MOLDOVA,mistral:latest,Lenient,0.339,0.400,0.367,20,39,30,50,59
OTGON v. THE REPUBLIC OF MOLDOVA,mistral:latest,Strict,0.203,0.240,0.220,12,47,38,50,59
OTGON v. THE REPUBLIC OF MOLDOVA,incept5/llama3.1-claude:latest,Lenient,0.333,0.020,0.038,1,2,49,50,3
OTGON v. THE REPUBLIC OF MOLDOVA,incept5/llama3.1-claude:latest,Strict,0.000,0.000,0.000,0,3,50,50,3
OTGON v. THE REPUBLIC OF MOLDOVA,chevalblanc/claude-3-haiku:latest,Lenient,0.556,0.100,0.169,5,4,45,50,9
OTGON v. THE REPUBLIC OF MOLDOVA,chevalblanc/claude-3-haiku:latest,Strict,0.222,0.040,0.068,2,7,48,50,9
OTGON v. THE REPUBLIC OF MOLDOVA,mixtral:8x7b,Lenient,0.562,0.180,0.273,9,7,41,50,16
OTGON v. THE REPUBLIC OF MOLDOVA,mixtral:8x7b,Strict,0.375,0.120,0.182,6,10,44,50,16
OTGON v. THE REPUBLIC OF MOLDOVA,dolphin3:8b,Lenient,1.000,0.020,0.039,1,0,49,50,1
OTGON v. THE REPUBLIC OF MOLDOVA,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,50,50,1
RESIN v. RUSSIA,gemma3:1b,Lenient,0.242,0.118,0.158,8,25,60,68,33
RESIN v. RUSSIA,gemma3:1b,Strict,0.242,0.118,0.158,8,25,60,68,33
RESIN v. RUSSIA,gemma3:4b,Lenient,0.208,0.074,0.109,5,19,63,68,24
RESIN v. RUSSIA,gemma3:4b,Strict,0.083,0.029,0.043,2,22,66,68,24
RESIN v. RUSSIA,gemma3:12b,Lenient,0.442,0.338,0.383,23,29,45,68,52
RESIN v. RUSSIA,gemma3:12b,Strict,0.154,0.118,0.133,8,44,60,68,52
RESIN v. RUSSIA,llama3.3:latest,Lenient,0.378,0.250,0.301,17,28,51,68,45
RESIN v. RUSSIA,llama3.3:latest,Strict,0.289,0.191,0.230,13,32,55,68,45
RESIN v. RUSSIA,deepseek-r1:8b,Lenient,0.467,0.103,0.169,7,8,61,68,15
RESIN v. RUSSIA,deepseek-r1:8b,Strict,0.267,0.059,0.096,4,11,64,68,15
RESIN v. RUSSIA,mistral:latest,Lenient,0.368,0.309,0.336,21,36,47,68,57
RESIN v. RUSSIA,mistral:latest,Strict,0.351,0.294,0.320,20,37,48,68,57
RESIN v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.552,0.235,0.330,16,13,52,68,29
RESIN v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.414,0.176,0.247,12,17,56,68,29
RESIN v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.500,0.147,0.227,10,10,58,68,20
RESIN v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.200,0.059,0.091,4,16,64,68,20
RESIN v. RUSSIA,mixtral:8x7b,Lenient,0.475,0.279,0.352,19,21,49,68,40
RESIN v. RUSSIA,mixtral:8x7b,Strict,0.275,0.162,0.204,11,29,57,68,40
RESIN v. RUSSIA,dolphin3:8b,Lenient,1.000,0.015,0.029,1,0,67,68,1
RESIN v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,68,68,1
DOKTOROV v. BULGARIA,gemma3:1b,Lenient,0.233,0.304,0.264,14,46,32,46,60
DOKTOROV v. BULGARIA,gemma3:1b,Strict,0.183,0.239,0.208,11,49,35,46,60
DOKTOROV v. BULGARIA,gemma3:4b,Lenient,0.351,0.283,0.313,13,24,33,46,37
DOKTOROV v. BULGARIA,gemma3:4b,Strict,0.162,0.130,0.145,6,31,40,46,37
DOKTOROV v. BULGARIA,gemma3:12b,Lenient,0.200,0.065,0.098,3,12,43,46,15
DOKTOROV v. BULGARIA,gemma3:12b,Strict,0.133,0.043,0.066,2,13,44,46,15
DOKTOROV v. BULGARIA,llama3.3:latest,Lenient,0.462,0.130,0.203,6,7,40,46,13
DOKTOROV v. BULGARIA,llama3.3:latest,Strict,0.385,0.109,0.169,5,8,41,46,13
DOKTOROV v. BULGARIA,deepseek-r1:8b,Lenient,0.483,0.304,0.373,14,15,32,46,29
DOKTOROV v. BULGARIA,deepseek-r1:8b,Strict,0.310,0.196,0.240,9,20,37,46,29
DOKTOROV v. BULGARIA,mistral:latest,Lenient,0.370,0.370,0.370,17,29,29,46,46
DOKTOROV v. BULGARIA,mistral:latest,Strict,0.348,0.348,0.348,16,30,30,46,46
DOKTOROV v. BULGARIA,incept5/llama3.1-claude:latest,Lenient,0.000,0.000,0.000,0,0,46,46,0
DOKTOROV v. BULGARIA,incept5/llama3.1-claude:latest,Strict,0.000,0.000,0.000,0,0,46,46,0
DOKTOROV v. BULGARIA,chevalblanc/claude-3-haiku:latest,Lenient,0.591,0.283,0.382,13,9,33,46,22
DOKTOROV v. BULGARIA,chevalblanc/claude-3-haiku:latest,Strict,0.318,0.152,0.206,7,15,39,46,22
DOKTOROV v. BULGARIA,mixtral:8x7b,Lenient,0.455,0.109,0.175,5,6,41,46,11
DOKTOROV v. BULGARIA,mixtral:8x7b,Strict,0.182,0.043,0.070,2,9,44,46,11
DOKTOROV v. BULGARIA,dolphin3:8b,Lenient,1.000,0.022,0.043,1,0,45,46,1
DOKTOROV v. BULGARIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,46,46,1
YAKUSHEV v. UKRAINE,gemma3:1b,Lenient,0.273,0.122,0.169,6,16,43,49,22
YAKUSHEV v. UKRAINE,gemma3:1b,Strict,0.227,0.102,0.141,5,17,44,49,22
YAKUSHEV v. UKRAINE,gemma3:4b,Lenient,0.720,0.367,0.486,18,7,31,49,25
YAKUSHEV v. UKRAINE,gemma3:4b,Strict,0.400,0.204,0.270,10,15,39,49,25
YAKUSHEV v. UKRAINE,gemma3:12b,Lenient,0.548,0.347,0.425,17,14,32,49,31
YAKUSHEV v. UKRAINE,gemma3:12b,Strict,0.452,0.286,0.350,14,17,35,49,31
YAKUSHEV v. UKRAINE,llama3.3:latest,Lenient,0.758,0.510,0.610,25,8,24,49,33
YAKUSHEV v. UKRAINE,llama3.3:latest,Strict,0.545,0.367,0.439,18,15,31,49,33
YAKUSHEV v. UKRAINE,deepseek-r1:8b,Lenient,0.000,0.000,0.000,0,4,49,49,4
YAKUSHEV v. UKRAINE,deepseek-r1:8b,Strict,0.000,0.000,0.000,0,4,49,49,4
YAKUSHEV v. UKRAINE,mistral:latest,Lenient,0.657,0.469,0.548,23,12,26,49,35
YAKUSHEV v. UKRAINE,mistral:latest,Strict,0.486,0.347,0.405,17,18,32,49,35
YAKUSHEV v. UKRAINE,incept5/llama3.1-claude:latest,Lenient,0.000,0.000,0.000,0,0,49,49,0
YAKUSHEV v. UKRAINE,incept5/llama3.1-claude:latest,Strict,0.000,0.000,0.000,0,0,49,49,0
YAKUSHEV v. UKRAINE,chevalblanc/claude-3-haiku:latest,Lenient,0.727,0.163,0.267,8,3,41,49,11
