Model,Annotation_Type,Evaluation_Mode,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Gold_Count,Predicted_Count
dolphin3:8b,Event_what,Lenient,0.640,0.032,0.061,16,9,487,503,25
dolphin3:8b,OVERALL,Lenient,0.546,0.050,0.091,83,69,1582,1665,152
dolphin3:8b,Event,Strict,0.329,0.059,0.100,24,49,384,408,73
dolphin3:8b,Event_who,Strict,0.071,0.005,0.009,2,26,400,402,28
dolphin3:8b,Event_when,Strict,0.846,0.062,0.116,22,4,330,352,26
dolphin3:8b,Event_what,Strict,0.440,0.022,0.042,11,14,492,503,25
dolphin3:8b,OVERALL,Strict,0.388,0.035,0.065,59,93,1606,1665,152
gemma3:12b,Event,Lenient,0.743,0.404,0.524,165,57,243,408,222
gemma3:12b,Event_who,Lenient,0.288,0.152,0.199,61,151,341,402,212
gemma3:12b,Event_when,Lenient,0.758,0.392,0.517,138,44,214,352,182
gemma3:12b,Event_what,Lenient,0.607,0.215,0.317,108,70,395,503,178
gemma3:12b,OVERALL,Lenient,0.594,0.283,0.384,472,322,1193,1665,794
gemma3:12b,Event,Strict,0.590,0.321,0.416,131,91,277,408,222
gemma3:12b,Event_who,Strict,0.217,0.114,0.150,46,166,356,402,212
gemma3:12b,Event_when,Strict,0.714,0.369,0.487,130,52,222,352,182
gemma3:12b,Event_what,Strict,0.219,0.078,0.115,39,139,464,503,178
gemma3:12b,OVERALL,Strict,0.436,0.208,0.281,346,448,1319,1665,794
gemma3:1b,Event,Lenient,0.352,0.272,0.307,111,204,297,408,315
gemma3:1b,Event_who,Lenient,0.053,0.022,0.032,9,160,393,402,169
gemma3:1b,Event_when,Lenient,0.319,0.205,0.249,72,154,280,352,226
gemma3:1b,Event_what,Lenient,0.273,0.030,0.054,15,40,488,503,55
gemma3:1b,OVERALL,Lenient,0.271,0.124,0.170,207,558,1458,1665,765
gemma3:1b,Event,Strict,0.305,0.235,0.266,96,219,312,408,315
gemma3:1b,Event_who,Strict,0.036,0.015,0.021,6,163,396,402,169
gemma3:1b,Event_when,Strict,0.296,0.190,0.232,67,159,285,352,226
gemma3:1b,Event_what,Strict,0.036,0.004,0.007,2,53,501,503,55
gemma3:1b,OVERALL,Strict,0.224,0.103,0.141,171,594,1494,1665,765
gemma3:4b,Event,Lenient,0.476,0.397,0.433,162,178,246,408,340
gemma3:4b,Event_who,Lenient,0.100,0.050,0.066,20,181,382,402,201
gemma3:4b,Event_when,Lenient,0.470,0.310,0.373,109,123,243,352,232
gemma3:4b,Event_what,Lenient,0.412,0.107,0.170,54,77,449,503,131
gemma3:4b,OVERALL,Lenient,0.382,0.207,0.269,345,559,1320,1665,904
gemma3:4b,Event,Strict,0.226,0.189,0.206,77,263,331,408,340
gemma3:4b,Event_who,Strict,0.090,0.045,0.060,18,183,384,402,201
gemma3:4b,Event_when,Strict,0.435,0.287,0.346,101,131,251,352,232
gemma3:4b,Event_what,Strict,0.153,0.040,0.063,20,111,483,503,131
gemma3:4b,OVERALL,Strict,0.239,0.130,0.168,216,688,1449,1665,904
incept5/llama3.1-claude:latest,Event,Lenient,0.633,0.343,0.445,140,81,268,408,221
incept5/llama3.1-claude:latest,Event_who,Lenient,0.129,0.040,0.061,16,108,386,402,124
incept5/llama3.1-claude:latest,Event_when,Lenient,0.734,0.290,0.415,102,37,250,352,139
incept5/llama3.1-claude:latest,Event_what,Lenient,0.585,0.095,0.164,48,34,455,503,82
incept5/llama3.1-claude:latest,OVERALL,Lenient,0.541,0.184,0.274,306,260,1359,1665,566
incept5/llama3.1-claude:latest,Event,Strict,0.534,0.289,0.375,118,103,290,408,221
incept5/llama3.1-claude:latest,Event_who,Strict,0.089,0.027,0.042,11,113,391,402,124
incept5/llama3.1-claude:latest,Event_when,Strict,0.712,0.281,0.403,99,40,253,352,139
incept5/llama3.1-claude:latest,Event_what,Strict,0.280,0.046,0.079,23,59,480,503,82
incept5/llama3.1-claude:latest,OVERALL,Strict,0.443,0.151,0.225,251,315,1414,1665,566
llama3.3:latest,Event,Lenient,0.785,0.314,0.448,128,35,280,408,163
llama3.3:latest,Event_who,Lenient,0.268,0.095,0.140,38,104,364,402,142
llama3.3:latest,Event_when,Lenient,0.815,0.287,0.424,101,23,251,352,124
llama3.3:latest,Event_what,Lenient,0.779,0.133,0.228,67,19,436,503,86
llama3.3:latest,OVERALL,Lenient,0.649,0.201,0.306,334,181,1331,1665,515
llama3.3:latest,Event,Strict,0.681,0.272,0.389,111,52,297,408,163
llama3.3:latest,Event_who,Strict,0.120,0.042,0.063,17,125,385,402,142
llama3.3:latest,Event_when,Strict,0.782,0.276,0.408,97,27,255,352,124
llama3.3:latest,Event_what,Strict,0.488,0.083,0.143,42,44,461,503,86
llama3.3:latest,OVERALL,Strict,0.518,0.160,0.245,267,248,1398,1665,515
mistral:latest,Event,Lenient,0.409,0.566,0.475,231,334,177,408,565
mistral:latest,Event_who,Lenient,0.088,0.077,0.082,31,323,371,402,354
mistral:latest,Event_when,Lenient,0.643,0.420,0.509,148,82,204,352,230
mistral:latest,Event_what,Lenient,0.420,0.241,0.306,121,167,382,503,288
mistral:latest,OVERALL,Lenient,0.370,0.319,0.342,531,906,1134,1665,1437
mistral:latest,Event,Strict,0.352,0.488,0.409,199,366,209,408,565
mistral:latest,Event_who,Strict,0.062,0.055,0.058,22,332,380,402,354
mistral:latest,Event_when,Strict,0.622,0.406,0.491,143,87,209,352,230
mistral:latest,Event_what,Strict,0.142,0.082,0.104,41,247,462,503,288
mistral:latest,OVERALL,Strict,0.282,0.243,0.261,405,1032,1260,1665,1437
mixtral:8x7b,Event,Lenient,0.651,0.333,0.441,136,73,272,408,209
mixtral:8x7b,Event_who,Lenient,0.174,0.067,0.097,27,128,375,402,155
mixtral:8x7b,Event_when,Lenient,0.741,0.244,0.368,86,30,266,352,116
mixtral:8x7b,Event_what,Lenient,0.568,0.125,0.205,63,48,440,503,111
mixtral:8x7b,OVERALL,Lenient,0.528,0.187,0.277,312,279,1353,1665,591
mixtral:8x7b,Event,Strict,0.541,0.277,0.366,113,96,295,408,209
mixtral:8x7b,Event_who,Strict,0.090,0.035,0.050,14,141,388,402,155
mixtral:8x7b,Event_when,Strict,0.448,0.148,0.222,52,64,300,352,116
mixtral:8x7b,Event_what,Strict,0.189,0.042,0.068,21,90,482,503,111
mixtral:8x7b,OVERALL,Strict,0.338,0.120,0.177,200,391,1465,1665,591
