Document,Model,Annotation_Type,Evaluation_Mode,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Gold_Count,Predicted_Count
SIDOROVA v. RUSSIA,mistral:latest,Event,Lenient,0.375,0.462,0.414,6,10,7,13,16
SIDOROVA v. RUSSIA,mistral:latest,Event,Strict,0.312,0.385,0.345,5,11,8,13,16
SIDOROVA v. RUSSIA,mistral:latest,Event_who,Lenient,0.000,0.000,0.000,0,9,13,13,9
SIDOROVA v. RUSSIA,mistral:latest,Event_who,Strict,0.000,0.000,0.000,0,9,13,13,9
SIDOROVA v. RUSSIA,mistral:latest,Event_when,Lenient,0.333,0.154,0.211,2,4,11,13,6
SIDOROVA v. RUSSIA,mistral:latest,Event_when,Strict,0.333,0.154,0.211,2,4,11,13,6
SIDOROVA v. RUSSIA,mistral:latest,Event_what,Lenient,0.286,0.133,0.182,2,5,13,15,7
SIDOROVA v. RUSSIA,mistral:latest,Event_what,Strict,0.000,0.000,0.000,0,7,15,15,7
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Event,Lenient,0.333,0.077,0.125,1,2,12,13,3
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Event,Strict,0.000,0.000,0.000,0,3,13,13,3
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Event_who,Lenient,0.000,0.000,0.000,0,2,13,13,2
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Event_who,Strict,0.000,0.000,0.000,0,2,13,13,2
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Event_when,Lenient,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Event_when,Strict,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Event_what,Lenient,0.000,0.000,0.000,0,0,15,15,0
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Event_what,Strict,0.000,0.000,0.000,0,0,15,15,0
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event,Lenient,0.600,0.231,0.333,3,2,10,13,5
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event,Strict,0.400,0.154,0.222,2,3,11,13,5
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.500,0.077,0.133,1,1,12,13,2
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.000,0.000,0.000,0,2,13,13,2
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_when,Lenient,1.000,0.077,0.143,1,0,12,13,1
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_when,Strict,0.000,0.000,0.000,0,1,13,13,1
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_what,Lenient,0.000,0.000,0.000,0,0,15,15,0
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.000,0.000,0.000,0,0,15,15,0
SIDOROVA v. RUSSIA,mixtral:8x7b,Event,Lenient,0.769,0.769,0.769,10,3,3,13,13
SIDOROVA v. RUSSIA,mixtral:8x7b,Event,Strict,0.769,0.769,0.769,10,3,3,13,13
SIDOROVA v. RUSSIA,mixtral:8x7b,Event_who,Lenient,0.538,0.538,0.538,7,6,6,13,13
SIDOROVA v. RUSSIA,mixtral:8x7b,Event_who,Strict,0.154,0.154,0.154,2,11,11,13,13
SIDOROVA v. RUSSIA,mixtral:8x7b,Event_when,Lenient,0.667,0.154,0.250,2,1,11,13,3
SIDOROVA v. RUSSIA,mixtral:8x7b,Event_when,Strict,0.000,0.000,0.000,0,3,13,13,3
SIDOROVA v. RUSSIA,mixtral:8x7b,Event_what,Lenient,0.875,0.467,0.609,7,1,8,15,8
SIDOROVA v. RUSSIA,mixtral:8x7b,Event_what,Strict,0.500,0.267,0.348,4,4,11,15,8
SIDOROVA v. RUSSIA,dolphin3:8b,Event,Lenient,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,dolphin3:8b,Event,Strict,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,dolphin3:8b,Event_who,Lenient,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,dolphin3:8b,Event_who,Strict,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,dolphin3:8b,Event_when,Lenient,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,dolphin3:8b,Event_when,Strict,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,dolphin3:8b,Event_what,Lenient,0.000,0.000,0.000,0,0,15,15,0
SIDOROVA v. RUSSIA,dolphin3:8b,Event_what,Strict,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Event,Lenient,0.167,0.143,0.154,2,10,12,14,12
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Event,Strict,0.167,0.143,0.154,2,10,12,14,12
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Event_who,Lenient,0.000,0.000,0.000,0,0,13,13,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Event_who,Strict,0.000,0.000,0.000,0,0,13,13,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Event_when,Lenient,0.167,0.077,0.105,1,5,12,13,6
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Event_when,Strict,0.167,0.077,0.105,1,5,12,13,6
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Event_what,Lenient,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Event_what,Strict,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Event,Lenient,0.500,0.214,0.300,3,3,11,14,6
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Event,Strict,0.167,0.071,0.100,1,5,13,14,6
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Event_who,Lenient,0.000,0.000,0.000,0,1,13,13,1
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Event_who,Strict,0.000,0.000,0.000,0,1,13,13,1
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Event_when,Lenient,1.000,0.231,0.375,3,0,10,13,3
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Event_when,Strict,0.333,0.077,0.125,1,2,12,13,3
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Event_what,Lenient,0.250,0.067,0.105,1,3,14,15,4
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Event_what,Strict,0.000,0.000,0.000,0,4,15,15,4
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Event,Lenient,0.875,0.500,0.636,7,1,7,14,8
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Event,Strict,0.750,0.429,0.545,6,2,8,14,8
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Event_who,Lenient,0.625,0.385,0.476,5,3,8,13,8
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Event_who,Strict,0.500,0.308,0.381,4,4,9,13,8
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Event_when,Lenient,0.857,0.462,0.600,6,1,7,13,7
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Event_when,Strict,0.714,0.385,0.500,5,2,8,13,7
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Event_what,Lenient,0.714,0.333,0.455,5,2,10,15,7
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Event_what,Strict,0.000,0.000,0.000,0,7,15,15,7
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Event,Lenient,0.727,0.571,0.640,8,3,6,14,11
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Event,Strict,0.727,0.571,0.640,8,3,6,14,11
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Event_who,Lenient,0.556,0.385,0.455,5,4,8,13,9
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Event_who,Strict,0.111,0.077,0.091,1,8,12,13,9
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Event_when,Lenient,0.889,0.615,0.727,8,1,5,13,9
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Event_when,Strict,0.667,0.462,0.545,6,3,7,13,9
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Event_what,Lenient,0.636,0.467,0.538,7,4,8,15,11
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Event_what,Strict,0.091,0.067,0.077,1,10,14,15,11
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Event,Lenient,1.000,0.143,0.250,2,0,12,14,2
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Event,Strict,1.000,0.143,0.250,2,0,12,14,2
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Event_who,Lenient,0.000,0.000,0.000,0,1,13,13,1
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Event_who,Strict,0.000,0.000,0.000,0,1,13,13,1
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Event_when,Lenient,1.000,0.154,0.267,2,0,11,13,2
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Event_when,Strict,0.000,0.000,0.000,0,2,13,13,2
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Event_what,Lenient,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Event_what,Strict,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Event,Lenient,0.667,0.286,0.400,4,2,10,14,6
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Event,Strict,0.667,0.286,0.400,4,2,10,14,6
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Event_who,Lenient,0.000,0.000,0.000,0,3,13,13,3
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Event_who,Strict,0.000,0.000,0.000,0,3,13,13,3
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Event_when,Lenient,0.800,0.308,0.444,4,1,9,13,5
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Event_when,Strict,0.800,0.308,0.444,4,1,9,13,5
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Event_what,Lenient,0.600,0.200,0.300,3,2,12,15,5
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Event_what,Strict,0.000,0.000,0.000,0,5,15,15,5
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Event,Lenient,0.600,0.429,0.500,6,4,8,14,10
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Event,Strict,0.600,0.429,0.500,6,4,8,14,10
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Event_who,Lenient,0.500,0.308,0.381,4,4,9,13,8
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Event_who,Strict,0.125,0.077,0.095,1,7,12,13,8
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Event_when,Lenient,0.800,0.308,0.444,4,1,9,13,5
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Event_when,Strict,0.800,0.308,0.444,4,1,9,13,5
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Event_what,Lenient,0.500,0.267,0.348,4,4,11,15,8
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Event_what,Strict,0.000,0.000,0.000,0,8,15,15,8
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Event,Lenient,0.500,0.143,0.222,2,2,12,14,4
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Event,Strict,0.500,0.143,0.222,2,2,12,14,4
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.000,0.000,0.000,0,2,13,13,2
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.000,0.000,0.000,0,2,13,13,2
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Event_when,Lenient,0.667,0.154,0.250,2,1,11,13,3
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Event_when,Strict,0.667,0.154,0.250,2,1,11,13,3
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Event_what,Lenient,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Event,Lenient,1.000,0.071,0.133,1,0,13,14,1
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Event,Strict,1.000,0.071,0.133,1,0,13,14,1
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Event_who,Lenient,0.000,0.000,0.000,0,0,13,13,0
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Event_who,Strict,0.000,0.000,0.000,0,0,13,13,0
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Event_when,Lenient,1.000,0.077,0.143,1,0,12,13,1
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Event_when,Strict,1.000,0.077,0.143,1,0,12,13,1
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Event_what,Lenient,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Event_what,Strict,0.000,0.000,0.000,0,0,15,15,0
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Event,Lenient,0.500,0.071,0.125,1,1,13,14,2
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Event,Strict,0.000,0.000,0.000,0,2,14,14,2
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Event_who,Lenient,0.000,0.000,0.000,0,0,13,13,0
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Event_who,Strict,0.000,0.000,0.000,0,0,13,13,0
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Event_when,Lenient,0.000,0.000,0.000,0,1,13,13,1
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Event_when,Strict,0.000,0.000,0.000,0,1,13,13,1
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Event_what,Lenient,0.000,0.000,0.000,0,1,15,15,1
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Event_what,Strict,0.000,0.000,0.000,0,1,15,15,1
MOSKALEV v. RUSSIA,gemma3:1b,Event,Lenient,0.091,0.182,0.121,2,20,9,11,22
MOSKALEV v. RUSSIA,gemma3:1b,Event,Strict,0.091,0.182,0.121,2,20,9,11,22
MOSKALEV v. RUSSIA,gemma3:1b,Event_who,Lenient,0.050,0.091,0.065,1,19,10,11,20
MOSKALEV v. RUSSIA,gemma3:1b,Event_who,Strict,0.050,0.091,0.065,1,19,10,11,20
MOSKALEV v. RUSSIA,gemma3:1b,Event_when,Lenient,0.136,0.375,0.200,3,19,5,8,22
MOSKALEV v. RUSSIA,gemma3:1b,Event_when,Strict,0.045,0.125,0.067,1,21,7,8,22
MOSKALEV v. RUSSIA,gemma3:1b,Event_what,Lenient,0.062,0.071,0.067,1,15,13,14,16
MOSKALEV v. RUSSIA,gemma3:1b,Event_what,Strict,0.000,0.000,0.000,0,16,14,14,16
MOSKALEV v. RUSSIA,gemma3:4b,Event,Lenient,0.500,0.636,0.560,7,7,4,11,14
MOSKALEV v. RUSSIA,gemma3:4b,Event,Strict,0.214,0.273,0.240,3,11,8,11,14
MOSKALEV v. RUSSIA,gemma3:4b,Event_who,Lenient,0.182,0.182,0.182,2,9,9,11,11
MOSKALEV v. RUSSIA,gemma3:4b,Event_who,Strict,0.182,0.182,0.182,2,9,9,11,11
MOSKALEV v. RUSSIA,gemma3:4b,Event_when,Lenient,0.625,0.625,0.625,5,3,3,8,8
MOSKALEV v. RUSSIA,gemma3:4b,Event_when,Strict,0.625,0.625,0.625,5,3,3,8,8
MOSKALEV v. RUSSIA,gemma3:4b,Event_what,Lenient,0.200,0.071,0.105,1,4,13,14,5
MOSKALEV v. RUSSIA,gemma3:4b,Event_what,Strict,0.200,0.071,0.105,1,4,13,14,5
MOSKALEV v. RUSSIA,gemma3:12b,Event,Lenient,0.800,0.364,0.500,4,1,7,11,5
MOSKALEV v. RUSSIA,gemma3:12b,Event,Strict,0.800,0.364,0.500,4,1,7,11,5
MOSKALEV v. RUSSIA,gemma3:12b,Event_who,Lenient,0.750,0.273,0.400,3,1,8,11,4
MOSKALEV v. RUSSIA,gemma3:12b,Event_who,Strict,0.750,0.273,0.400,3,1,8,11,4
MOSKALEV v. RUSSIA,gemma3:12b,Event_when,Lenient,0.800,0.500,0.615,4,1,4,8,5
MOSKALEV v. RUSSIA,gemma3:12b,Event_when,Strict,0.800,0.500,0.615,4,1,4,8,5
MOSKALEV v. RUSSIA,gemma3:12b,Event_what,Lenient,0.500,0.143,0.222,2,2,12,14,4
MOSKALEV v. RUSSIA,gemma3:12b,Event_what,Strict,0.000,0.000,0.000,0,4,14,14,4
MOSKALEV v. RUSSIA,llama3.3:latest,Event,Lenient,0.000,0.000,0.000,0,0,11,11,0
MOSKALEV v. RUSSIA,llama3.3:latest,Event,Strict,0.000,0.000,0.000,0,0,11,11,0
MOSKALEV v. RUSSIA,llama3.3:latest,Event_who,Lenient,0.000,0.000,0.000,0,0,11,11,0
MOSKALEV v. RUSSIA,llama3.3:latest,Event_who,Strict,0.000,0.000,0.000,0,0,11,11,0
MOSKALEV v. RUSSIA,llama3.3:latest,Event_when,Lenient,0.000,0.000,0.000,0,0,8,8,0
MOSKALEV v. RUSSIA,llama3.3:latest,Event_when,Strict,0.000,0.000,0.000,0,0,8,8,0
MOSKALEV v. RUSSIA,llama3.3:latest,Event_what,Lenient,0.000,0.000,0.000,0,0,14,14,0
MOSKALEV v. RUSSIA,llama3.3:latest,Event_what,Strict,0.000,0.000,0.000,0,0,14,14,0
MOSKALEV v. RUSSIA,deepseek-r1:8b,Event,Lenient,0.091,0.182,0.121,2,20,9,11,22
MOSKALEV v. RUSSIA,deepseek-r1:8b,Event,Strict,0.045,0.091,0.061,1,21,10,11,22
MOSKALEV v. RUSSIA,deepseek-r1:8b,Event_who,Lenient,0.071,0.091,0.080,1,13,10,11,14
MOSKALEV v. RUSSIA,deepseek-r1:8b,Event_who,Strict,0.071,0.091,0.080,1,13,10,11,14
MOSKALEV v. RUSSIA,deepseek-r1:8b,Event_when,Lenient,0.200,0.375,0.261,3,12,5,8,15
MOSKALEV v. RUSSIA,deepseek-r1:8b,Event_when,Strict,0.067,0.125,0.087,1,14,7,8,15
MOSKALEV v. RUSSIA,deepseek-r1:8b,Event_what,Lenient,0.000,0.000,0.000,0,0,14,14,0
MOSKALEV v. RUSSIA,deepseek-r1:8b,Event_what,Strict,0.000,0.000,0.000,0,0,14,14,0
MOSKALEV v. RUSSIA,mistral:latest,Event,Lenient,0.500,0.636,0.560,7,7,4,11,14
MOSKALEV v. RUSSIA,mistral:latest,Event,Strict,0.286,0.364,0.320,4,10,7,11,14
MOSKALEV v. RUSSIA,mistral:latest,Event_who,Lenient,0.214,0.273,0.240,3,11,8,11,14
MOSKALEV v. RUSSIA,mistral:latest,Event_who,Strict,0.214,0.273,0.240,3,11,8,11,14
MOSKALEV v. RUSSIA,mistral:latest,Event_when,Lenient,0.833,0.625,0.714,5,1,3,8,6
MOSKALEV v. RUSSIA,mistral:latest,Event_when,Strict,0.833,0.625,0.714,5,1,3,8,6
MOSKALEV v. RUSSIA,mistral:latest,Event_what,Lenient,0.455,0.357,0.400,5,6,9,14,11
MOSKALEV v. RUSSIA,mistral:latest,Event_what,Strict,0.091,0.071,0.080,1,10,13,14,11
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Event,Lenient,0.500,0.091,0.154,1,1,10,11,2
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Event,Strict,0.000,0.000,0.000,0,2,11,11,2
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Event_who,Lenient,0.000,0.000,0.000,0,1,11,11,1
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Event_who,Strict,0.000,0.000,0.000,0,1,11,11,1
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Event_when,Lenient,0.000,0.000,0.000,0,0,8,8,0
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Event_when,Strict,0.000,0.000,0.000,0,0,8,8,0
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Event_what,Lenient,0.000,0.000,0.000,0,0,14,14,0
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Event_what,Strict,0.000,0.000,0.000,0,0,14,14,0
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event,Lenient,0.667,0.364,0.471,4,2,7,11,6
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event,Strict,0.333,0.182,0.235,2,4,9,11,6
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.600,0.273,0.375,3,2,8,11,5
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.400,0.182,0.250,2,3,9,11,5
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_when,Lenient,1.000,0.125,0.222,1,0,7,8,1
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_when,Strict,0.000,0.000,0.000,0,1,8,8,1
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_what,Lenient,0.600,0.214,0.316,3,2,11,14,5
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.000,0.000,0.000,0,5,14,14,5
MOSKALEV v. RUSSIA,mixtral:8x7b,Event,Lenient,0.538,0.636,0.583,7,6,4,11,13
MOSKALEV v. RUSSIA,mixtral:8x7b,Event,Strict,0.385,0.455,0.417,5,8,6,11,13
MOSKALEV v. RUSSIA,mixtral:8x7b,Event_who,Lenient,0.000,0.000,0.000,0,7,11,11,7
MOSKALEV v. RUSSIA,mixtral:8x7b,Event_who,Strict,0.000,0.000,0.000,0,7,11,11,7
MOSKALEV v. RUSSIA,mixtral:8x7b,Event_when,Lenient,0.556,0.625,0.588,5,4,3,8,9
MOSKALEV v. RUSSIA,mixtral:8x7b,Event_when,Strict,0.000,0.000,0.000,0,9,8,8,9
MOSKALEV v. RUSSIA,mixtral:8x7b,Event_what,Lenient,0.600,0.429,0.500,6,4,8,14,10
